insured_sex,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,fraud_reported,age_group,months_as_customer_groups,policy_annual_premium_groups
FEMALE,-42600,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,23,3,1,3,41580,Y,36-40,151-200,medium
FEMALE,-47900,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,13,1,0,0,58500,Y,41-45,251-300,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,17,1,2,3,79320,N,41-45,251-300,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,2,1,0,2,82610,Y,31-35,151-200,low
FEMALE,-66300,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,23,3,1,3,78600,Y,41-45,0-50,low
MALE,-70400,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,17,1,1,2,51390,Y,46-50,251-300,medium
MALE,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,3,1,1,0,70200,Y,41-45,201-250,high
MALE,-51100,Parked Car,?,Minor Damage,None,16,1,2,1,4900,N,26-30,51-100,high
FEMALE,-49500,Multi-vehicle Collision,Side Collision,Major Damage,Other,13,3,1,3,66480,Y,61-65,451-500,medium
MALE,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,8,1,2,1,50380,Y,21-25,51-100,medium
FEMALE,-59500,Single Vehicle Collision,Front Collision,Major Damage,Fire,23,1,0,2,64350,N,61-65,451-500,medium
MALE,-58700,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,15,3,2,3,55400,Y,26-30,101-150,medium
MALE,0,Single Vehicle Collision,Front Collision,Total Loss,Other,3,1,2,2,49900,N,26-30,101-150,medium
MALE,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,4,3,0,3,74880,N,26-30,0-50,medium
FEMALE,0,Single Vehicle Collision,Front Collision,Minor Damage,Other,8,1,0,0,105820,Y,41-45,251-300,high
MALE,-36000,Vehicle Theft,?,Trivial Damage,Police,21,1,1,0,7150,Y,41-45,251-300,low
MALE,-31400,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,23,1,0,0,55800,Y,56-60,451-500,medium
MALE,-41200,Parked Car,?,Trivial Damage,None,8,1,1,3,5830,N,31-35,101-150,low
FEMALE,-46400,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,21,1,2,1,85900,Y,41-45,251-300,medium
MALE,0,Parked Car,?,Minor Damage,Police,5,1,2,3,7110,N,26-30,101-150,low
MALE,0,Multi-vehicle Collision,Side Collision,Total Loss,Fire,12,3,0,0,36960,Y,41-45,251-300,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,7,3,2,0,64400,Y,36-40,151-200,low
MALE,0,Parked Car,?,Minor Damage,None,0,1,1,3,1920,N,41-45,251-300,medium
MALE,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,14,1,0,1,86130,Y,21-25,0-50,medium
FEMALE,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,13,1,2,3,82170,Y,31-35,101-150,low
FEMALE,-60400,Single Vehicle Collision,Front Collision,Major Damage,Fire,1,1,1,0,50300,Y,41-45,251-300,medium
FEMALE,0,Single Vehicle Collision,Side Collision,Major Damage,Police,23,1,0,0,44200,Y,31-35,101-150,medium
FEMALE,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,1,1,2,2,66660,N,41-45,201-250,medium
FEMALE,0,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,9,1,2,3,78320,N,26-30,101-150,high
FEMALE,-60000,Single Vehicle Collision,Rear Collision,Total Loss,Fire,3,1,0,1,105040,N,31-35,151-200,low
MALE,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,0,1,2,1,50700,N,41-45,251-300,medium
FEMALE,0,Multi-vehicle Collision,Front Collision,Total Loss,Fire,13,3,1,1,51210,N,41-45,301-350,medium
MALE,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,18,3,2,1,51840,N,46-50,351-400,high
FEMALE,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,17,3,2,3,52800,N,31-35,151-200,medium
FEMALE,-51400,Single Vehicle Collision,Front Collision,Minor Damage,Fire,11,1,0,0,55200,Y,41-45,201-250,medium
MALE,-37900,Vehicle Theft,?,Minor Damage,None,0,1,0,3,9100,N,31-35,201-250,medium
FEMALE,-61000,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,14,3,1,3,67600,N,51-55,401-450,low
MALE,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,4,1,1,2,40800,N,31-35,101-150,medium
MALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,2,3,2,1,84500,Y,46-50,351-400,high
MALE,-43600,Multi-vehicle Collision,Front Collision,Major Damage,Other,9,3,2,2,71610,Y,36-40,151-200,medium
MALE,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,21,4,0,2,60600,Y,51-55,351-400,high
MALE,-44400,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,0,3,2,3,81240,Y,41-45,251-300,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,3,0,3,29300,N,36-40,251-300,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Total Loss,Fire,21,3,1,1,76450,N,31-35,0-50,high
FEMALE,-62700,Multi-vehicle Collision,Side Collision,Major Damage,Fire,20,3,0,3,49400,N,41-45,301-350,medium
FEMALE,-45100,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,5,1,0,1,90530,N,36-40,201-250,medium
FEMALE,-44000,Vehicle Theft,?,Minor Damage,Police,7,1,2,1,8030,N,31-35,51-100,medium
FEMALE,-32300,Single Vehicle Collision,Side Collision,Minor Damage,Fire,6,1,0,0,63900,Y,36-40,201-250,medium
MALE,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,2,4,0,2,38640,N,51-55,401-450,low
MALE,-40000,Multi-vehicle Collision,Rear Collision,Total Loss,Other,19,3,1,1,41490,N,56-60,451-500,medium
FEMALE,-42100,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,21,3,2,0,79090,Y,31-35,51-100,medium
MALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,3,3,0,0,87900,Y,31-35,151-200,medium
MALE,-29100,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,22,1,2,3,53400,N,31-35,51-100,high
MALE,0,Single Vehicle Collision,Rear Collision,Total Loss,Fire,22,1,2,3,52030,N,36-40,151-200,medium
MALE,-65300,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,16,1,0,2,82060,N,56-60,451-500,medium
FEMALE,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,0,1,0,3,48360,N,31-35,151-200,low
FEMALE,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,1,3,2,1,52290,N,31-35,51-100,medium
MALE,-52100,Multi-vehicle Collision,Rear Collision,Major Damage,Police,19,3,0,3,68200,Y,56-60,451-500,low
MALE,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,0,3,2,1,60750,Y,41-45,251-300,high
FEMALE,-60800,Multi-vehicle Collision,Front Collision,Major Damage,Fire,2,3,0,2,65560,Y,26-30,51-100,very low
FEMALE,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,5,3,1,3,70290,N,46-50,351-400,high
FEMALE,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,6,1,2,0,45000,Y,36-40,151-200,medium
FEMALE,-47100,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,21,3,2,1,61800,N,36-40,201-250,medium
FEMALE,0,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,11,3,0,0,64570,Y,46-50,251-300,medium
FEMALE,-62100,Single Vehicle Collision,Rear Collision,Minor Damage,Other,3,1,2,0,70500,Y,61-65,451-500,medium
MALE,-48500,Multi-vehicle Collision,Side Collision,Total Loss,Police,4,3,2,1,57900,N,36-40,151-200,low
FEMALE,-52600,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,2,3,1,0,57860,Y,46-50,251-300,medium
MALE,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,22,1,1,1,37800,N,36-40,201-250,medium
FEMALE,-33100,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,8,1,1,3,63300,N,36-40,201-250,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,14,3,0,1,44200,N,31-35,151-200,medium
MALE,-59400,Multi-vehicle Collision,Side Collision,Minor Damage,Police,14,4,1,0,31680,Y,26-30,51-100,medium
FEMALE,-45100,Parked Car,?,Trivial Damage,Police,5,1,1,2,100,N,31-35,51-100,medium
FEMALE,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,18,1,2,1,56340,N,61-65,451-500,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,20,3,0,0,69740,Y,36-40,201-250,medium
MALE,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,0,3,2,2,60480,N,36-40,151-200,medium
FEMALE,-15700,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,1,3,2,1,80880,N,61-65,451-500,medium
FEMALE,-68200,Single Vehicle Collision,Front Collision,Total Loss,Fire,10,1,1,2,49390,N,61-65,451-500,high
FEMALE,-52300,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,12,1,0,3,69360,N,26-30,51-100,medium
FEMALE,0,Vehicle Theft,?,Minor Damage,None,6,1,0,1,3740,N,41-45,201-250,high
MALE,-48700,Parked Car,?,Trivial Damage,None,1,1,0,1,5060,N,31-35,101-150,medium
FEMALE,-34800,Multi-vehicle Collision,Front Collision,Total Loss,Police,21,3,0,0,35860,Y,46-50,301-350,medium
MALE,-46900,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,2,1,50050,Y,36-40,251-300,medium
MALE,-61500,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,14,4,0,0,59070,Y,26-30,51-100,medium
MALE,-31700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,1,2,28440,N,26-30,101-150,medium
FEMALE,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,7,1,2,1,45540,Y,31-35,101-150,medium
FEMALE,-57600,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,0,1,0,0,38700,Y,31-35,151-200,medium
MALE,-52100,Parked Car,?,Trivial Damage,None,6,1,2,1,5830,N,36-40,201-250,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Total Loss,Other,0,1,0,2,57240,Y,31-35,51-100,high
MALE,-36800,Multi-vehicle Collision,Rear Collision,Total Loss,Police,9,3,0,3,46200,N,36-40,151-200,medium
FEMALE,0,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,23,1,0,1,57700,N,31-35,101-150,medium
MALE,-41700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,13,3,2,0,56160,Y,46-50,301-350,high
MALE,-59500,Multi-vehicle Collision,Side Collision,Total Loss,Fire,0,3,0,3,44400,N,46-50,301-350,high
MALE,-81100,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,7,1,2,3,92730,Y,56-60,401-450,high
FEMALE,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,23,1,0,1,30700,N,31-35,101-150,low
FEMALE,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,7,1,2,0,56600,Y,21-25,0-50,high
FEMALE,-27700,Parked Car,?,Trivial Damage,None,20,1,0,1,3960,N,21-25,0-50,high
MALE,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,22,1,0,3,34800,N,26-30,51-100,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,10,3,2,0,79500,Y,36-40,101-150,medium
FEMALE,0,Single Vehicle Collision,Front Collision,Total Loss,Police,10,1,2,2,56000,N,31-35,201-250,low
FEMALE,-44200,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,17,1,1,0,73260,Y,26-30,101-150,medium
MALE,0,Parked Car,?,Trivial Damage,None,3,1,2,3,4950,N,46-50,251-300,medium
MALE,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,10,1,0,1,48000,N,41-45,301-350,low
MALE,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,1,1,0,1,52200,N,36-40,0-50,medium
FEMALE,-111100,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,1,3,2,3,73800,N,36-40,151-200,medium
FEMALE,-69600,Single Vehicle Collision,Side Collision,Total Loss,Fire,7,1,1,2,78200,N,31-35,101-150,high
MALE,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,19,1,2,3,55200,Y,31-35,101-150,medium
FEMALE,-58300,Multi-vehicle Collision,Side Collision,Total Loss,Other,3,3,0,2,57060,N,41-45,251-300,high
FEMALE,-34700,Vehicle Theft,?,Minor Damage,None,3,1,0,3,4680,N,26-30,101-150,medium
FEMALE,-63700,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,23,1,2,0,53100,Y,56-60,401-450,medium
FEMALE,-55300,Vehicle Theft,?,Minor Damage,None,7,1,1,2,3520,N,46-50,251-300,medium
FEMALE,-54100,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,0,3,0,1,72900,N,21-25,51-100,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,10,1,0,1,70700,N,36-40,201-250,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,4,4,0,0,60170,Y,26-30,101-150,medium
MALE,-40700,Single Vehicle Collision,Rear Collision,Major Damage,Other,16,1,1,1,74800,Y,41-45,251-300,medium
MALE,0,Vehicle Theft,?,Trivial Damage,Police,3,1,2,0,4100,Y,41-45,251-300,low
MALE,0,Single Vehicle Collision,Side Collision,Minor Damage,Other,5,1,0,3,61490,N,46-50,351-400,medium
MALE,0,Vehicle Theft,?,Trivial Damage,None,14,1,0,0,7200,Y,26-30,51-100,high
FEMALE,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,7,3,0,0,45100,Y,31-35,151-200,medium
MALE,0,Single Vehicle Collision,Front Collision,Minor Damage,Police,16,1,2,3,66660,N,51-55,401-450,medium
FEMALE,-64500,Single Vehicle Collision,Front Collision,Major Damage,Police,6,1,2,2,76400,Y,41-45,201-250,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,10,1,1,1,58300,N,36-40,151-200,high
FEMALE,0,Single Vehicle Collision,Front Collision,Total Loss,Police,19,1,1,1,57310,N,46-50,301-350,medium
FEMALE,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,10,1,0,1,53100,N,31-35,151-200,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,6,3,1,1,74700,N,21-25,51-100,high
FEMALE,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,12,3,2,2,60500,N,26-30,101-150,medium
MALE,-72100,Multi-vehicle Collision,Side Collision,Total Loss,Other,10,3,2,3,84920,Y,26-30,101-150,medium
FEMALE,0,Single Vehicle Collision,Side Collision,Total Loss,Police,0,1,2,0,61050,Y,36-40,151-200,medium
MALE,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,12,3,2,0,69080,Y,26-30,51-100,low
FEMALE,-44500,Vehicle Theft,?,Minor Damage,None,10,1,1,3,4560,N,46-50,301-350,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,3,4,0,1,67800,N,26-30,101-150,high
MALE,-31900,Vehicle Theft,?,Minor Damage,Police,21,1,1,1,5600,N,31-35,101-150,medium
MALE,-53200,Vehicle Theft,?,Minor Damage,None,6,1,0,2,9000,N,51-55,351-400,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,0,1,0,1,85320,N,41-45,251-300,low
FEMALE,-33300,Vehicle Theft,?,Trivial Damage,None,6,1,0,3,5940,Y,21-25,0-50,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,20,3,1,1,51370,Y,31-35,151-200,medium
MALE,-48800,Single Vehicle Collision,Rear Collision,Major Damage,Police,4,1,2,2,51600,N,41-45,201-250,medium
FEMALE,0,Parked Car,?,Trivial Damage,None,9,1,0,3,5400,N,41-45,251-300,low
MALE,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,20,3,1,0,48870,Y,36-40,201-250,high
FEMALE,0,Vehicle Theft,?,Minor Damage,Police,7,1,2,1,5590,N,41-45,251-300,medium
MALE,-71400,Multi-vehicle Collision,Front Collision,Major Damage,Other,18,3,0,2,54960,Y,46-50,301-350,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,0,3,1,3,39800,N,46-50,251-300,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,11,3,0,1,56160,Y,36-40,151-200,medium
MALE,-79400,Single Vehicle Collision,Side Collision,Total Loss,Fire,13,1,0,3,52700,N,41-45,251-300,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,19,3,1,3,68580,N,41-45,301-350,medium
MALE,-54400,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,23,1,1,2,90860,Y,56-60,401-450,medium
MALE,0,Parked Car,?,Trivial Damage,Police,23,1,0,3,5700,N,51-55,351-400,medium
MALE,-75000,Multi-vehicle Collision,Side Collision,Total Loss,Police,19,3,2,0,94930,Y,21-25,0-50,high
MALE,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,19,1,1,2,46800,Y,41-45,251-300,medium
FEMALE,-51800,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,3,2,3,56320,N,46-50,301-350,medium
MALE,-41400,Single Vehicle Collision,Front Collision,Minor Damage,Fire,18,1,1,3,83490,N,46-50,251-300,high
FEMALE,-63500,Multi-vehicle Collision,Side Collision,Total Loss,Police,17,3,2,2,57900,N,36-40,0-50,medium
MALE,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,11,3,1,3,49410,N,36-40,201-250,medium
MALE,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,22,3,0,1,66200,N,41-45,301-350,medium
MALE,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,7,1,0,1,64080,N,46-50,251-300,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,17,3,2,3,42500,N,41-45,201-250,low
MALE,-40800,Multi-vehicle Collision,Side Collision,Total Loss,Other,16,3,2,3,48950,N,26-30,101-150,medium
FEMALE,-45300,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,13,3,1,2,58850,N,41-45,201-250,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,17,3,0,2,82400,N,36-40,201-250,high
FEMALE,-48800,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,3,1,2,0,54240,Y,41-45,301-350,high
FEMALE,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,15,3,0,2,74200,N,26-30,51-100,medium
FEMALE,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,16,1,2,1,47430,N,51-55,401-450,medium
FEMALE,-64500,Single Vehicle Collision,Rear Collision,Major Damage,Fire,18,1,1,3,68200,Y,41-45,201-250,high
FEMALE,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,18,1,1,0,63900,Y,31-35,151-200,medium
FEMALE,-58900,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,22,2,0,3,59300,N,36-40,201-250,medium
FEMALE,-61600,Multi-vehicle Collision,Front Collision,Minor Damage,Other,15,3,1,2,66900,Y,41-45,251-300,medium
MALE,-51000,Multi-vehicle Collision,Rear Collision,Major Damage,Police,16,3,1,3,40810,Y,26-30,51-100,low
FEMALE,-72100,Single Vehicle Collision,Front Collision,Total Loss,Fire,18,1,1,0,75400,Y,41-45,251-300,low
FEMALE,-61100,Parked Car,?,Minor Damage,None,8,1,2,0,4200,Y,31-35,101-150,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,23,3,0,0,52650,Y,41-45,301-350,medium
FEMALE,-46000,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,18,1,0,2,42240,N,46-50,301-350,medium
FEMALE,0,Single Vehicle Collision,Side Collision,Minor Damage,Other,10,1,1,0,59490,Y,36-40,201-250,medium
MALE,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,12,1,0,2,44200,Y,36-40,201-250,medium
FEMALE,-49300,Vehicle Theft,?,Trivial Damage,Police,5,1,1,2,7700,N,36-40,251-300,high
MALE,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,21,3,2,3,61440,N,56-60,401-450,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,17,3,1,3,54400,Y,36-40,151-200,high
MALE,0,Single Vehicle Collision,Front Collision,Total Loss,Other,4,1,2,1,58560,N,46-50,351-400,medium
MALE,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,11,1,1,1,67300,Y,31-35,101-150,medium
MALE,-49700,Single Vehicle Collision,Rear Collision,Major Damage,Fire,18,1,1,3,36740,Y,51-55,401-450,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,12,1,0,0,85690,Y,26-30,0-50,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,18,3,0,3,34160,Y,31-35,101-150,medium
MALE,-72000,Single Vehicle Collision,Front Collision,Minor Damage,Fire,16,1,2,2,61320,N,46-50,251-300,medium
MALE,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,19,3,0,0,79680,Y,41-45,251-300,medium
FEMALE,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,13,1,1,0,61740,Y,26-30,101-150,high
MALE,-50500,Parked Car,?,Minor Damage,None,4,1,0,0,6400,Y,51-55,451-500,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,8,1,1,2,60600,N,51-55,351-400,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,19,3,2,0,56320,Y,36-40,151-200,medium
FEMALE,0,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,18,1,2,0,52250,Y,31-35,151-200,medium
FEMALE,-44800,Multi-vehicle Collision,Rear Collision,Total Loss,Other,9,2,0,3,53900,N,56-60,451-500,medium
MALE,-43400,Vehicle Theft,?,Trivial Damage,None,6,1,2,1,2640,N,31-35,201-250,medium
MALE,0,Vehicle Theft,?,Minor Damage,None,8,1,0,0,8970,Y,31-35,0-50,medium
MALE,0,Parked Car,?,Minor Damage,None,6,1,1,3,6000,N,31-35,0-50,medium
MALE,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,23,3,0,3,55200,Y,36-40,151-200,medium
MALE,0,Parked Car,?,Trivial Damage,None,13,1,0,3,7260,N,41-45,251-300,high
FEMALE,0,Multi-vehicle Collision,Front Collision,Minor Damage,Police,3,3,2,0,64680,Y,36-40,151-200,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,23,1,0,1,59200,N,41-45,201-250,low
FEMALE,0,Vehicle Theft,?,Minor Damage,None,8,1,1,3,4700,N,31-35,101-150,medium
MALE,0,Single Vehicle Collision,Side Collision,Total Loss,Other,23,1,0,3,69400,N,31-35,0-50,medium
FEMALE,0,Single Vehicle Collision,Side Collision,Total Loss,Police,23,1,0,0,40500,Y,21-25,0-50,low
MALE,-51800,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,9,3,2,1,60000,N,26-30,51-100,medium
MALE,-63700,Single Vehicle Collision,Side Collision,Minor Damage,Other,22,1,2,3,67320,N,26-30,101-150,medium
FEMALE,-49300,Multi-vehicle Collision,Side Collision,Total Loss,Other,22,3,2,1,75690,N,26-30,101-150,high
MALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,15,3,1,2,64300,Y,31-35,101-150,medium
MALE,-20900,Multi-vehicle Collision,Rear Collision,Major Damage,Police,16,3,2,0,64400,Y,41-45,201-250,high
FEMALE,-39100,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,17,3,1,2,97080,N,51-55,401-450,low
MALE,0,Vehicle Theft,?,Minor Damage,Police,3,1,1,0,5500,Y,41-45,251-300,medium
FEMALE,-50300,Multi-vehicle Collision,Rear Collision,Total Loss,Other,10,3,0,2,30700,N,36-40,201-250,medium
FEMALE,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,9,1,1,2,33480,N,46-50,251-300,medium
MALE,-30900,Multi-vehicle Collision,Front Collision,Total Loss,Police,13,2,0,1,65430,N,26-30,101-150,medium
MALE,-52500,Multi-vehicle Collision,Rear Collision,Major Damage,Police,15,3,2,1,42680,Y,36-40,151-200,medium
MALE,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,23,1,1,1,87780,N,41-45,251-300,medium
FEMALE,-67000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,2,4,0,2,72800,N,36-40,101-150,low
FEMALE,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,14,1,2,0,71190,Y,36-40,201-250,low
MALE,-70900,Vehicle Theft,?,Trivial Damage,None,7,1,1,1,3600,N,36-40,151-200,low
MALE,0,Single Vehicle Collision,Side Collision,Major Damage,Other,23,1,1,3,62640,N,41-45,201-250,medium
MALE,0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,7,3,2,1,69630,N,36-40,151-200,medium
MALE,-68800,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,8,3,1,0,76010,Y,31-35,151-200,medium
MALE,-43500,Single Vehicle Collision,Rear Collision,Total Loss,Other,17,1,1,0,44220,Y,36-40,201-250,high
FEMALE,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,10,3,0,3,57200,N,36-40,151-200,medium
MALE,0,Vehicle Theft,?,Minor Damage,Police,9,1,0,3,3080,N,31-35,51-100,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Total Loss,Other,2,1,1,0,75790,Y,31-35,51-100,low
FEMALE,-46500,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,18,3,0,1,32670,N,26-30,101-150,medium
FEMALE,-65500,Vehicle Theft,?,Minor Damage,Police,4,1,2,3,3870,N,46-50,251-300,medium
FEMALE,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,12,1,0,3,91520,Y,36-40,201-250,medium
MALE,0,Single Vehicle Collision,Front Collision,Major Damage,Other,15,1,1,3,74690,Y,31-35,151-200,medium
MALE,-15900,Vehicle Theft,?,Trivial Damage,Police,9,1,1,3,4620,N,26-30,51-100,high
FEMALE,0,Single Vehicle Collision,Side Collision,Major Damage,Police,6,1,0,0,55000,Y,31-35,101-150,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,11,4,0,2,59400,Y,46-50,301-350,high
FEMALE,-61200,Multi-vehicle Collision,Side Collision,Total Loss,Fire,13,3,1,1,55260,N,31-35,101-150,medium
MALE,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,4,3,2,1,51400,N,41-45,251-300,low
FEMALE,-59800,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,20,3,1,3,48780,N,36-40,0-50,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,0,3,1,3,52380,N,31-35,151-200,medium
FEMALE,-43900,Multi-vehicle Collision,Side Collision,Total Loss,Other,18,4,2,3,74360,Y,31-35,151-200,medium
MALE,-20800,Single Vehicle Collision,Front Collision,Minor Damage,Police,6,1,1,0,53400,Y,36-40,201-250,high
FEMALE,0,Single Vehicle Collision,Front Collision,Total Loss,Police,23,1,2,2,71800,N,56-60,451-500,high
FEMALE,0,Single Vehicle Collision,Front Collision,Major Damage,Other,4,1,0,0,68240,Y,31-35,151-200,medium
